participantId,trialId,Condition,responsePrompt,answer,Sentiments,Tags,Index
5f4fc497a3b4320c8928639e,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"I think having text and visual plot is best since some people would not be able to see the visual information, though I personally found that I looked only at the visual information.",Positive,"Insight about Text and Vis both,good for impaired community",103
5dd71896670d1a6af9f20eee,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"This one had even more information, and helped me recognize where I may have made errors in previous datasets.",Positive,"Insight about Text and Vis both,Preference on Text and Vis both,Combined format helps improve correctness",53
5e02e5144acfb9e385bb4c5a,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,I don't understand how the data set shows tennis grand slam tournaments and their winners. Is it just a comparison of how many people who win one tournament win other tournaments also?,,Comment about data content,67
641ecfa9f83175a3d9f63636,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The set is very divergent, with seemingly nearly every possible combination of intersections present in the data.",,"Insight about set properties,Insight about intersection properties,High level data observation",166
60fcd02deba2c8e1ed1f0723,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The UpSet shows that most of the member countries are in the organizations of Interpol, UN, UNESCO, UPU, and WHO. The plot has a vast difference in descending order. It has an uneven trend with a peak of 117 and the least of 1. ",,"Low level data observation,Similar observation as trend analysis section,Insight about intersection properties",121
66962f162372082a3647f572,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The presentation is very clever and useful, but I found it to be a very steep learning curve - making a few mistakes in the training section as I grappled to understand. It may be a text-based alternative to a venn diagram, but it isn't anywhere near as immediately accessible or understandable.",,"Insight about Text Description,Difficult to parse information",311
6131597390b9cf1cfc3e8a76,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The combination of the text data and the visual graph is the most easy to understand in my opinion providing most of the answers with a cursory glance but also providing the other answers with a bit deeper of a look,Positive,"Insight about Text and Vis both,Easy to parse information",143
669eb09f44fd00f288eb8eb6,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,This is clear to understand given the restrictive set,,Easy to parse information,318
603d90a1cd5c8ec6df906814,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The different international organizations vary a lot in the number of member countries, and there are a lot of intersections (overlap) between members of each international organization.
",,"Low level data observation,Insight about set properties,Insight about intersection properties",116
668221ef283ed3e39954487f,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Something new to learn! never tried it before,,learnt something new/ educative,281
6658bba67f3c13a15a86d803,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"Higher probability of being a member for Interpol, UN, UNESCO, UPU and WHO. Nobody has been a member for all organisations.  ",,"High level data observation,Similar observation as intersection properties",213
66c5f3b24507c79830b451a7,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"With the accompanying text, the dataset was extremely easy to understand. ",,"Insight about Text and Vis both,Easy to parse information",392
666c6ddc652f38b0355bc344,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"a more detailed way of showing data, but i prefer venn diagram still",,prefers ven diagram more,246
66bff58ff2d1a5f273431584,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"Many countries are in multiple different international organizations
Most countries are in the largest intersection of organizations, with a smaller subset also in NATO",,"High level data observation,Similar observation as trend analysis section,Similar observation as intersection properties",366
6664661dece3c191d9dd5ab2,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,I didn't really need the text to answer the questions,,"Insight about Text and Vis both,do not need text to answer questions",238
666cb540cd1f9d9f05c12105,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The description helped me connect and visualize the UpSet visualizations better, as I personally find text easier. However the visualizations helps me see where intersections are present easier than reading the text.",,"Insight about Text and Vis both,Combined format helps improve correctness",251
66ade2c28a85033cab570717,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Overload of info,,"Insight about Text and Vis both,Too much text/ information",333
65da51b212ad91d9df1913fd,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"Covid cases have Fatigue and Anosmia as the biggest symptom.
Where Fatigue is the most common ",,"Low level data observation,Insight about set properties,Insight about Text Description",192
66ba5f3894e5b3812210f9bb,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"From this plot, I can infer how many countries are members in the same organisations - e.g., there are 117 member countries that share membership in Interpol, UN, UNESCO, UPU, and WHO.",,"Low level data observation,Insight about intersection properties",346
6655a626a0a93488c8fb143b,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,fatigue is the most common covid symptom by far,,"Low level data observation,Similar observation as set properties",207
66becf77a87578f124f8a036,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"When compared to a venn diagram, it is much easier to identify the largest sets using these plots, however, it is harder to identify each individual intersection. It takes a bit of effort to identify intersections. Although the sets are easy to comprehend, having another plot for intersections would be recommended. Understanding the size of the intersections is very effortless as well. ",,"comment on upset,Difficult to parse information,another separate plot for intersection recommended",361
628254ec789e78a3dcd22d99,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"There's very few international organizations, and every seems to belong to the same one five different times. ",,"High level data observation,Comment about data content",147
66ce0e269e0d2cd124df4887,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,I was able to answer all of the questions by only looking at the pictures.,,"Insight about Text and Vis both,easy to parse information from vis",413
5ed7b0c59a2ae024836e32d5,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Australian Open is the largest set,,"Insight about set properties,Low level data observation",88
5bf60707345b9b00016f0e97,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Most of the grand slam winners in tennis were at the Australian or French Open,,High level data observation,41
597fe89a1b41a20001749f57,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,This is a good way to visualize data where there are multiple inputs such as symptoms to see if there is a relationship between the symptoms.,Positive,"Insight about Text and Vis both,Marking combined strategy as good way to visualize data",16
5deb9c5a4de9422935efe5e7,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,a big gap between the most members and the least. The top ones are largely similar. very few have no members. there are either a lot of members or not.,,"High level data observation,Similar observation as trend analysis section,Similar observation as set properties,Similar observation as intersection properties",58
6678757b671f246b4c1b4f6c,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Nice option to have two ways of reading it,,"Marking combined strategy as good way to visualize data,Insight about Text and Vis both",268
5997043dbbe84800017964a7,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,again confusing,,"Insight about Text and Vis both,Confusing",22
66c5d1accc092f147f94b363,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Fatigue is the biggest set and shortness of is the smallest set. The biggest intersection is the anosmia and fatigue,,"Low level data observation,Insight about set properties,Insight about intersection properties",386
66cdd1ad42828e8da522ddb1,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"largest intersections don't necessarily mean largest sets. data is concentrated in 5 sets, whilst the rest of the data intersections are very small. ",,"High level data observation,Similar observation as intersection properties,Similar observation as set properties,similar observation as statistical analysis",407
5ecc0077922a5d0a247e79ac,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The diagram is very easy to use and understand.,,"Insight about Text and Vis both,Easy to parse information,Easy to read",77
66ba287d1cd394ac6c21a43c,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"It has 8 data sets.

Largest intersection is from Interpol, UN, UNESCo, UPU and WHO

largest set is UPU and smallest is SAARC.",,"Low level data observation,Insight about set properties,Insight about intersection properties",341
66ccc8f8819490330c532373,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,This one was alot easier to follow and I was able to find the answers more quickly,,"Insight about Text and Vis both,Easy to parse information,Combined format helps improve correctness",403
667ae30569196599fa6b0ba9,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The UpSet is clear and is able to show the intersections of multiple sets clearly.,,"Likes concept format of UpSet plot,Easy to parse information",271
66bce91186a8da8151c30f61,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"1.The largest set is Australian
2.The smallest set is Wimbledon",,"Low level data observation,Insight about set properties",357
6684445f6894372c54825fd4,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,I understand how the image helps with a quick read but the written format is still easier to understand by a country mile.,,"Marking combined strategy as good way to visualize data,Insight about Text and Vis both",293
666ffa40c99c2f9c3a47e3e4,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"In tennis Grand slam winners, there winners are found in French open while the lowest are in Wimbledon. This explains that French open are played more, maybe yearly while Wimbledon are mostly played half of the time French and Australian Open is being played.",,High level data observation,257
6689878009ea0b87ff9b6ddc,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The grouping of Interpol, UN, and UNESCO, UPU, WHO share the most amount of same countries in their organization memberships.",,"Insight about intersection properties,Low level data observation",297
663e5c83c1599fe4e23d98ae,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Fatigue was the main symptom of covid but it also varied with its other symptoms,,"Low level data observation,Insight about set properties,similar observation as statistical analysis",196
652d36620eca7decc5bd4466,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Once you learned what to look for It makes it easier to understand the plot points and description.,,"Insight about Text and Vis both,takes time to learn",176
5a893c8cf49c9a0001f3a221,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,This plot set showed the symptoms of Covid and how many cases shared the same symptoms.,,High level data observation,27
665c72ef8e6e166f13aee9f6,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,confusing,,Confusing,226
5aebc4ac75deca00016252ea,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The UpSet plot shows tennis grand slam winners,,Comment about data content,32
66a51057a123a32824a9a9e0,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The dataset shows significant variability in the membership sizes of international organizations, with the largest intersections involving multiple major organizations and no single intersection including all organizations.",,"High level data observation,Similar observation as intersection properties,Similar observation as trend analysis section",323
6659e2efdb732dbd7f707a98,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Having both sources of information present makes digesting the data a lot easier.,,"Insight about Text and Vis both,Easy to parse information",222
6684089a4c68d1a42da1cfaa,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Easier to read than written,,"easy to parse information from both than text,Insight about Text and Vis both",288
5ece9e3b3a19db0cf5af6692,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,That the leading symptoms of Covid symptoms are Ansomia and Fatigue.,,"Insight about intersection properties,Low level data observation",81
66bcc667ba1619c089fecbbb,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,That fatigue and anosmia are the most common covid symptoms. Someone having every single symptom is not very common.,,"Low level data observation,Insight about intersection properties",352
5efb49177e130c0785b93842,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The visualization along with the text provides two ways of understanding the data. A written format provides context and explanation and the images illustrate this.,,"Insight about Text and Vis both,Easy to parse information",97
66b544ce73d3561af98d76e1,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The big 5 organizations all have similar set sizes. However, NATO, CICA, and SAARC are all comparable as well. The plot easily explains which member country shares organizations with each other. I understood the data better with the plot and the text.",,"High level data observation,Insight about Text and Vis both,Easy to parse information,Marking combined strategy as good way to visualize data",337
653ad51a96ba72b4243e5c07,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"I think biggest take away is how the UN is not the organisation that everyone is part of, UPU and UNESCO is, then its the UN. Another intesting aspect is that there are some countries that are not part of any international organisation.  ",,"High level data observation,talking about special attributes - the empty intersection",183
61080d1c39e080da7841eade,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"There is a decent amount of variance in the winner amount between tournaments.  But, there are some very good players, as shown by the intersection of all 4.",,"High level data observation,Insight about intersection properties,Insight about set properties",128
6681577c9263349cc005ad9b,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The graph helps a lot on the visual side because it allows you to reassure yourself of what you have read in the description. But I find that the description is really long and for those who do not like reading, they will never be able to get by without the graph",,"Insight about Text and Vis both,complex without vis",276
650b604dbf69c1cada1ba416,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"International organizations contain large overlap as UNESCO, Interpol, WHO, UN and UNPU are all intersecting. ",,"Insight about intersection properties,Low level data observation",172
66469f5d40d395a527be84c8,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,It is understanding the task to make better decisions.,,"Preference on Text and Vis both,Insight about Text and Vis both,Easy to understand",203
5c6c260dce4e560001f75731,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,there is not much difference between the sets,,"Insight about set properties,Low level data observation",46
6008793f0294554adc85c346,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The most common covid symptoms would be fatigue and Anosmia and fatigue would be mostly combined symptoms,,"Insight about set properties,Insight about intersection properties,Low level data observation",106
60188c50141a9415c30301e0,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,The greatest take away I have is that tennis open need a larger pool of players; or less dominant ones,,Comment about data content,111
659ea43fea7c0cc45bbe771f,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Description is clearly written which allowed me to determine largest set and intersection. The plots are also easy to read which made it easy to verify my answers.,,"Insight about Text and Vis both,Easy to parse information,well written,Combined format helps improve correctness",187
574dc90512d86b000f833ab0,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Set sizes are mostly equal.,,"Insight about set properties,Low level data observation",3
63ea445c759d5bf0e3f63739,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Australian and French open are neck and neck,,"Insight about set properties,Low level data observation",162
610f7244c65ae4e57858a700,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The plot seems like a lot at first glance, but is easy to see the amount of each symptom and combination of symptoms. The description is straight to the point and clearly tells me the info from the plot.",,"Easy to parse information,Insight about Text and Vis both,concise",131
6658cf093c3b7a255aeae9eb,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,It’s common for tennis players to Hve just won one grand slam tournment,,"High level data observation,Similar observation as intersection properties",218
66c5feea08e0368a0da64d38,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,explain well the stat,,"Insight about Text and Vis both,concise",397
66c4dee716f98496f9638591,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,That all of the major tennis matches are roughly the same size,,"Low level data observation,Insight about set properties",378
6672eb5ae4c4aa0c62b18d46,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"Although the Australian open is the largest set followed by  the french open. However, The french open team is the largest intersection followed by Austrlian.",,"High level data observation,Similar observation as set properties,Similar observation as intersection properties",261
611116ac01f43eeeb3cdeff3,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,There is a lot of variation between the international organizations and the countries that are involved with them.,,Low level data observation,138
665f9223c7db27a5d32d81ab,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,It shows that UPU has the largest number of member countries.,,"Insight about set properties,Low level data observation",233
669588e8ad1745596a02a04b,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,,,,308
5755c957eb80c4000741a9ce,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"It shows how fatigue is consistently the most common trait, both by itself and intersecting with other symptoms, and that diarrhea and shortness of breath seem to be mostly unrelated to having covid.",,"Insight about intersection properties,Insight about set properties,High level data observation",7
5e63cacbe43f28152567f42b,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The inclusion of the diagrams was extremely helpful, offering the data clearly at a glance but having the text accompanying it provided further clarity.",,"Insight about Text and Vis both,Easy to parse information",72
6315ffdb9876ded7feefaf07,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,All data has been presented as an intuitive diagram and as text.,,intuitive,158
66bce91186a8da8151c30f61,Post Study Survey,Post Study Survey,Do you have any other comments?,none,,,360
66c4dee716f98496f9638591,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,380
5dd71896670d1a6af9f20eee,Post Study Survey,Post Study Survey,Do you have any other comments?,"No, thank you!",,,55
66ba287d1cd394ac6c21a43c,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",It was good experience.,Positive,Talks about survey itself,344
6689878009ea0b87ff9b6ddc,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","The text description could describe if the all-set intersection is present, I found it hard to find that infomation at a glance in the Just Text Description condition.",,"Some more overlaps might be missing,comment on text description,Preference on Text and Vis both,Difficult to parse information",299
666c6ddc652f38b0355bc344,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",a better summary at the end,,Talks about survey itself,249
6668c49e07ce221e29f2bc5a,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","The text description provides all the essential information and it is not too long. It does not include all the intersections necessary, but it contains most of the important points of the dataset.",,"Some more overlaps might be missing,not too long,Insight about Text Description",244
650b604dbf69c1cada1ba416,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","No, I found the text descriptions the easiest to comprehend.",,"Easy to understand,Easy to parse information",174
5aebc4ac75deca00016252ea,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,35
5e02e5144acfb9e385bb4c5a,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",The text description were so procedural in their style that it was difficult to tell what information it was trying to give me with the data. It seemed with that much text that there would be more explanation of the actual nature of the data.,Negative,"Difficult to parse information,Too much text/ information,More explanation of the nature of data missing",69
669588e8ad1745596a02a04b,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,310
574dc90512d86b000f833ab0,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","No, I don't think I missed anything.",,,4
666c6ddc652f38b0355bc344,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,250
628254ec789e78a3dcd22d99,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,150
66b544ce73d3561af98d76e1,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,340
6678757b671f246b4c1b4f6c,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,270
6684089a4c68d1a42da1cfaa,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,290
665f9223c7db27a5d32d81ab,Post Study Survey,Post Study Survey,Do you have any other comments?,I would like to learn more about this method of data visualization but thus far it does not seem intuitive .,,Data visualization not intuitive,235
66ade2c28a85033cab570717,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,335
669588e8ad1745596a02a04b,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",I prefer just the visualizations.,,Preference on Vis,309
5ece9e3b3a19db0cf5af6692,Post Study Survey,Post Study Survey,Do you have any other comments?,No other comments.,,,85
60fcd02deba2c8e1ed1f0723,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","No, I do not think I missed anything.",,,124
6684089a4c68d1a42da1cfaa,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","Did not miss anything in the text description, although the descriptions are quite long",,"Insight about Text Description,Too much text/ information",289
5997043dbbe84800017964a7,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,25
5ba855d47c0ebe0001272f70,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,40
66ba5f3894e5b3812210f9bb,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,350
66c535b047ab0893183e06d8,Post Study Survey,Post Study Survey,Do you have any other comments?,this survey is quite educative,,"Talks about survey itself,learnt something new/ educative",385
66ce0e269e0d2cd124df4887,Post Study Survey,Post Study Survey,Do you have any other comments?,"It was a little difficult to grasp at first. After the first exercise, I had a better understanding of UpSet and was able to answer the questions with confidence. It was easier to answer with the visualization rather than only text, but I think it's always beneficial to have both available.",,"comment on upset,upset was hard initially,Easy to parse information from vis than only text,Preference on Text and Vis both",415
6658cf093c3b7a255aeae9eb,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,220
66b544ce73d3561af98d76e1,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","Nothing is missing. The descriptions were fine, the information presented in paragraphs makes it difficult to quickly reference data quickly.",,"Insight about Text Description,concise,Difficult to parse information",339
66962f162372082a3647f572,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",It's difficult to understand without a visual representation. I feel I would have understood it better if I could have seen it represented.,,"Insight about Text Description,Marking combined strategy as good way to visualize data,Preference on Text and Vis both",314
63ea445c759d5bf0e3f63739,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",,,,164
5e02e5144acfb9e385bb4c5a,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,70
641ecfa9f83175a3d9f63636,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,170
66a90befd4b58c2cfb86e72a,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","Perhaps, I think overall maybe having less text and more bullet points would make it easier and quicker to get the gist of what's being depicted (especially for folks who have ADHD or other learning disabilities like myself) ",,"Insight about Text Description,Too much text/ information,more bullet point needed,bullet point helpful for ADHD people",329
66c5f3b24507c79830b451a7,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",The all-set data should be included and integrated into the intersection sections,,"Insight about Text Description,no set/ all set should be at intersection properties",394
66becf77a87578f124f8a036,Post Study Survey,Post Study Survey,Do you have any other comments?,"It was a very interesting study, I must say. The sets were very easy to understand. The intersections are slightly bit more confusing. I would recommend to see if there are other graphs or plots that can be used to depict the various intersections. In most of todays scientific articles, you should not have to read instructions to understand the graph or at the very least, you should be able to interpret the data with minimal amount of reading. In this instance, we had to carefully read the instructions several times to understand what an intersection was. Other than that, it was easy to understand and interpret. ",,"Talks about survey itself,comment on upset,complex without text,reread required,intersection aspect is difficult,easy to parse information after several re-reads",365
5955a3eb98c9c400019f5c5f,Post Study Survey,Post Study Survey,Do you have any other comments?,No.,,,15
5ece9e3b3a19db0cf5af6692,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",Nothing i noticed.,,,84
60fcd02deba2c8e1ed1f0723,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,125
6655a626a0a93488c8fb143b,Post Study Survey,Post Study Survey,Do you have any other comments?,none,,,210
6008793f0294554adc85c346,Post Study Survey,Post Study Survey,Do you have any other comments?,,,,110
5a893c8cf49c9a0001f3a221,Post Study Survey,Post Study Survey,Do you have any other comments?,The chart of information is useful in helping participants in learning and refreshing their memory.,Positive,"Insight about Vis,Helpful",30
66c5d1accc092f147f94b363,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","Really need to read, although I believe I didn't miss anything",,"Insight about Text Description,easy to parse information after several re-reads,reread required",389
665f9223c7db27a5d32d81ab,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",I the text descriptions should be more summarized to make it easier for readers and people new to this data format,,"Difficult to parse long sentences,Too much text/ information",234
66c535b047ab0893183e06d8,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",The text description is quite concise,,"Insight about Text Description,concise",384
66ccc8f8819490330c532373,Post Study Survey,Post Study Survey,Do you have any other comments?,"No, I think this was very useful and I found myself understanding and following much more quickly towards the end.",Positive,"Talks about survey itself,useful",405
66c4d2c2713b223511e4e676,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",No suggestions,,,374
663e5c83c1599fe4e23d98ae,Post Study Survey,Post Study Survey,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",I think the intersection aspect made it difficult,,"intersection aspect is difficult,Insight about Text Description",199
